,name,reference product,location,unit
19859,"electricity, from municipal waste incineration to generic market for electricity, medium voltage","electricity, medium voltage",CZ,kilowatt hour
19860,"electricity, high voltage, import from BT","electricity, high voltage",IN-Eastern grid,kilowatt hour
19861,market for waste paint,waste paint,CH,kilogram
19862,cottonseed oil refinery operation,soap,RoW,kilogram
19863,"fuel cell production, solid oxide, with micro gas turbine, 180kW electrical, future","fuel cell, solid oxide, with micro gas turbine, 180kW electrical, future",CH,unit
19864,"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling","transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling",GLO,ton kilometer
19865,market for electric kettle,electric kettle,GLO,unit
19866,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",PT,kilowatt hour
19867,"electricity, high voltage, import from AZ","electricity, high voltage",RU,kilowatt hour
19868,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",CN-LN,kilowatt hour
19869,"treatment of sewage sludge, 70% water, WWT, WW from ammonium paratungstate production, municipal incineration","sewage sludge, 70% water, WWT, WW from ammonium paratungstate production",RoW,kilogram
19870,beef cattle production on pasture and feedlot,"cattle for slaughtering, live weight",RoW,kilogram
19871,"treatment of tyre wear emissions, lorry","tyre wear emissions, lorry",RoW,kilogram
19872,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",RU,kilowatt hour
19873,"heat and power co-generation, oil","heat, district or industrial, other than natural gas",NL,megajoule
19874,market for phosphorus oxychloride,phosphorus oxychloride,RER,kilogram
19875,"furnace production, logs, softwood storage area, 6kW","furnace, logs, softwood storage area, 6kW",CH,unit
19876,"treatment of waste mineral plaster, collection for final disposal",waste mineral plaster,RoW,kilogram
19877,"market for sawlog and veneer log, hardwood, measured as solid wood under bark","sawlog and veneer log, hardwood, measured as solid wood under bark",CH,cubic meter
19878,"evaporation of natural gas, import from ID","natural gas, high pressure",RNA,cubic meter
19879,"market for impact extrusion of steel, hot, 3 strokes","impact extrusion of steel, hot, 3 strokes",GLO,kilogram
19880,"maintenance, train, passenger, long distance","maintenance, train, passenger, long distance",CH,unit
19881,"market for sewage sludge, 70% water, WWT, WW from particle board production","sewage sludge, 70% water, WWT, WW from particle board production",RoW,kilogram
19882,"sodium perborate production, tetrahydrate, powder","sodium perborate, tetrahydrate, powder",RoW,kilogram
19883,market for heptane,heptane,GLO,kilogram
19884,"synthetic gas production, from wood, at fluidized bed gasifier",synthetic gas,RoW,cubic meter
19885,hexamethylenediamine production,hexamethylenediamine,RoW,kilogram
19886,market for used Ni-metal hydride battery,used Ni-metal hydride battery,GLO,kilogram
19887,"market for sawnwood, lath, hardwood, raw, dried (u=20%)","sawnwood, lath, hardwood, raw, dried (u=20%)",Europe without Switzerland,cubic meter
19888,market for benzal chloride,benzal chloride,RoW,kilogram
19889,"impact extrusion of steel, hot, 1 strokes","impact extrusion of steel, hot, 1 strokes",RoW,kilogram
19890,"sodium dithionite production, anhydrous","sodium dithionite, anhydrous",RoW,kilogram
19891,"market group for electricity, medium voltage","electricity, medium voltage",GLO,kilowatt hour
19892,ground granulated blast furnace slag to generic market for supplementary cementitious materials,supplementary cementitious materials,ZA,kilogram
19893,"dried roughage store construction, cold-air dried, conventional","dried roughage store, cold-air dried, conventional",CH,cubic meter
19894,"sawnwood production, hardwood, raw, dried (u=20%)","sawnwood, hardwood, raw, dried (u=20%)",RoW,cubic meter
19895,"market for straw, organic","straw, organic",RoW,kilogram
19896,"phenol production, from cumene",phenol,RER,kilogram
19897,"electricity, high voltage, import from GE","electricity, high voltage",TR,kilowatt hour
19898,"electricity, low voltage, residual mix","electricity, low voltage",NL,kilowatt hour
19899,"market for limestone and gypsum application, by spreader","limestone and gypsum application, by spreader",GLO,hectare
19900,"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",RER,kilogram
19901,"uranium production, centrifuge, enriched 3.8%","uranium, enriched 3.8%, per separative work unit",RU,unit
19902,"clear-cutting, secondary forest to arable land, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",CI,kilogram
19903,"aluminium production, primary, liquid, Söderberg","aluminium, primary, liquid",RoW,kilogram
19904,"mango production, conditioned, heat treatment","mango, conditioned",BR,kilogram
19905,market for ash from deinking sludge,ash from deinking sludge,RoW,kilogram
19906,"electricity, high voltage, import from DK","electricity, high voltage",SE,kilowatt hour
19907,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage",IN-MN,kilowatt hour
19908,"market for electricity, high voltage","electricity, high voltage",MD,kilowatt hour
19909,"paper mill construction, non-integrated","paper mill, non-integrated",RoW,unit
19910,"land use change, perennial crop","land use change, perennial crop",IT,hectare
19911,"treatment of sewage sludge, 97% water, WWT, WW, average, landfarming","sewage sludge, 97% water, WWT, WW, average",CA-QC,kilogram
19912,"market for used exhaust air valve in-wall housing, plastic/steel","used exhaust air valve in-wall housing, plastic/steel",CH,unit
19913,market for fluazifop-butyl,fluazifop-butyl,GLO,kilogram
19914,"market for bottom ash, MSWI[F]-WWT, condensate from light oil boiler","bottom ash, MSWI[F]-WWT, condensate from light oil boiler",CH,kilogram
19915,"treatment of waste polystyrene, unsanitary landfill, very wet infiltration class (1000mm)",waste polystyrene,GLO,kilogram
19916,"treatment of sewage sludge, 75% water, WWT, WW from LCD backlight production, sanitary landfill","electricity, medium voltage",GLO,kilowatt hour
19917,"treatment of waste sealing sheet, polyvinylchloride, municipal incineration","electricity, for reuse in municipal waste incineration only",RoW,kilowatt hour
19918,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","heat, district or industrial, natural gas",ES,megajoule
19919,nutrient supply from urea ammonium nitrate mix,"inorganic nitrogen fertiliser, as N",RER,kilogram
19920,"market for electricity, low voltage","electricity, low voltage",BG,kilowatt hour
19921,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",CA-QC,kilowatt hour
19922,market for salt tailing from potash mine,salt tailing from potash mine,GLO,kilogram
19923,metolachlor production,metolachlor,RoW,kilogram
19924,"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations","diesel, low-sulfur",ZA,kilogram
19925,market for fibre cement corrugated slab,fibre cement corrugated slab,GLO,kilogram
19926,"heat pump production, 30kW","heat pump, 30kW",RER,unit
19927,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",IN-BR,kilowatt hour
19928,"market for electricity, low voltage","electricity, low voltage",TH,kilowatt hour
19929,"market for land use change, annual crop","land use change, annual crop",BR-CE,hectare
19930,"electricity, high voltage, production mix","electricity, high voltage",CA-MB,kilowatt hour
19931,market for decommissioned chemical production facilities,decommissioned chemical production facilities,GLO,kilogram
19932,core board production,core board,RER,kilogram
19933,"paper production, woodfree, coated, at non-integrated mill","paper, woodfree, coated",RER,kilogram
19934,"market for heat pump, 30kW","heat pump, 30kW",GLO,unit
19935,styrene-acrylonitrile copolymer production,styrene-acrylonitrile copolymer,RER,kilogram
19936,market for waste reinforcement steel,waste reinforcement steel,RoW,kilogram
19937,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CL,megajoule
19938,"sulfate pulp production, from hardwood, bleached","methanol, from biomass",RoW,kilogram
19939,market for liquid manure tank trailer,liquid manure tank trailer,GLO,kilogram
19940,"irrigation, surface",irrigation,FR,cubic meter
19941,"electricity, high voltage, import from CN-CSG","electricity, high voltage",VN,kilowatt hour
19942,"exhaust air roof hood production, steel, DN 400","exhaust air roof hood, steel, DN 400",RoW,unit
19943,melamine impregnated paper production,"paper, melamine impregnated",RoW,kilogram
19944,"land already in use, annual cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-PB,kilogram
19945,"housing system construction, cattle, tied","housing system, cattle, tied, per animal unit",RoW,unit
19946,"electricity production, hard coal","electricity, high voltage",TZ,kilowatt hour
19947,"electricity, high voltage, import from OM","electricity, high voltage",AE,kilowatt hour
19948,"treatment of waste wire plastic, municipal incineration with fly ash extraction",waste wire plastic,CH,kilogram
19949,structural timber production,structural timber,RER,cubic meter
19950,"market for electricity, medium voltage","electricity, medium voltage",CN-NWG,kilowatt hour
19951,market for hard coal,hard coal,RU,kilogram
19952,market for seed-cotton,seed-cotton,GLO,kilogram
19953,"treatment of sewage sludge, 75% water, WWT, WW from potato starch production, sanitary landfill","heat, district or industrial, other than natural gas",GLO,megajoule
19954,"market for battery, lead acid, rechargeable, stationary","battery, lead acid, rechargeable, stationary",GLO,kilogram
19955,beet sugar production,"sugar, from sugar beet",CH,kilogram
19956,"petroleum and gas production, offshore",petroleum,DE,kilogram
19957,"market for wind power plant, 2MW, offshore, moving parts","wind power plant, 2MW, offshore, moving parts",GLO,unit
19958,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage",RoW,kilowatt hour
19959,"market for tyre wear emissions, passenger car","tyre wear emissions, passenger car",GLO,kilogram
19960,"heat, non-market, at cogen 160kWe Jakobsberg, allocation exergy","heat, central or small-scale, natural gas and heat pump, Jakobsberg",CH,megajoule
19961,"clear-cutting, grassland to arable land, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-MT,kilogram
19962,"polyvinylfluoride production, dispersion","polyvinylfluoride, dispersion",RoW,kilogram
19963,"impact extrusion of aluminium, 3 strokes","impact extrusion of aluminium, 3 strokes",RoW,kilogram
19964,market for ammonium paratungstate,ammonium paratungstate,GLO,kilogram
19965,"water works construction, capacity 1.1E10l/year, microstrainer treatment","water works, capacity 1.1E10l/year",RoW,unit
19966,"ammonia production, steam reforming, liquid","ammonia, anhydrous, liquid",RLA,kilogram
19967,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas","heat, district or industrial, other than natural gas",PL,megajoule
19968,"sour gas, burned in gas turbine","sour gas, burned in gas turbine",NO,megajoule
19969,"market for recultivation, iron mine","recultivation, iron mine",GLO,square meter
19970,lignite power plant construction,lignite power plant,RER,unit
19971,"heat production, mixed logs, at furnace 30kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",RoW,megajoule
19972,"transport, freight, small lorry with refrigeration machine, EURO5, R134a refrigerant, cooling to generic market","transport, freight, lorry with refrigeration machine, cooling",GLO,ton kilometer
19973,solder factory construction,solder factory,RER,unit
19974,"heat and power co-generation, oil","electricity, high voltage",US-NPCC,kilowatt hour
19975,"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-SH,megajoule
19976,electricity voltage transformation from medium to low voltage,"electricity, low voltage",LV,kilowatt hour
19977,"land already in use, annual cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",US,kilogram
19978,"treatment of municipal solid waste, incineration",municipal solid waste,BE,kilogram
19979,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",CN-TJ,kilowatt hour
19980,"sugarcane processing, modern autonomous plant","electricity, high voltage",BR,kilowatt hour
19981,"electricity production, lignite","electricity, high voltage",BA,kilowatt hour
19982,"anchovy, capture by steel purse seiner and landing whole, fresh","landed anchovy, fresh",PE,kilogram
19983,"petroleum and gas production, offshore",petroleum,EC,kilogram
19984,"oat seed production, for sowing","oat seed, for sowing",CH,kilogram
19985,"market for transmission network, electricity, medium voltage","transmission network, electricity, medium voltage",GLO,kilometer
19986,"market for toluene, liquid","toluene, liquid",RoW,kilogram
19987,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",GR,megajoule
19988,"electricity production, hydro, pumped storage","electricity, high voltage",CH,kilowatt hour
19989,"electricity production, hydro, pumped storage","electricity, high voltage",IN-MH,kilowatt hour
19990,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",BG,megajoule
19991,market for petroleum,petroleum,RNA,kilogram
19992,"market for sawnwood, softwood, raw, dried (u=10%)","sawnwood, softwood, raw, dried (u=10%)",RER,cubic meter
19993,"composting facility construction, open","composting facility, open",RoW,unit
19994,"market for eucalyptus seedling, for planting","eucalyptus seedling, for planting",GLO,unit
19995,methacrylic acid production,methacrylic acid,RoW,kilogram
19996,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",IN-MH,kilowatt hour
19997,"market for cathode, NMC111, for Li-ion battery","cathode, NMC111, for Li-ion battery",RoW,kilogram
19998,"land use change, annual crop","land use change, annual crop",BR-AL,hectare
19999,"refinery gas production, petroleum refinery operation",refinery gas,IN,kilogram
20000,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",GB,kilowatt hour
20001,"market for land tenure, arable land, measured as carbon net primary productivity, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-MT,kilogram
20002,"market for cement, Portland","cement, Portland",BR,kilogram
20003,magnesium factory construction,magnesium factory,RoW,unit
20004,"heat and power co-generation, biogas, gas engine","electricity, high voltage",CH,kilowatt hour
20005,"heavy fuel oil production, petroleum refinery operation",heavy fuel oil,RoW,kilogram
20006,"treatment of dross from Al electrolysis, residual material landfill",dross from Al electrolysis,RoW,kilogram
20007,"market for lightweight concrete block, expanded clay","lightweight concrete block, expanded clay",CH,kilogram
20008,aluminium casting facility construction,aluminium casting facility,RER,unit
20009,"irrigation, drip",irrigation,ZA,cubic meter
20010,"market for land use change, annual crop","land use change, annual crop",CN,hectare
20011,"train production, passenger, long-distance","train, passenger, long-distance",CH,unit
20012,"treatment of waste expanded polystyrene, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
20013,"treatment of waste plastic, mixture, open dump, hyperarid infiltration class (-250mm)","waste plastic, mixture",GLO,kilogram
20014,"electricity production, lignite","electricity, high voltage",IN-PB,kilowatt hour
20015,"wood cladding production, softwood","wood cladding, softwood",CA-QC,square meter
20016,"fibre cement facing tile production, small format","fibre cement facing tile, small format",CH,kilogram
20017,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO6","transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,ton kilometer
20018,"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",BR-Northern grid,megajoule
20019,"treatment of wastewater from plywood production, wastewater treatment","heat, central or small-scale, other than natural gas",RoW,megajoule
20020,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",ID,kilogram
20021,"nuclear waste storage construction, final repository for high level radioactive waste","nuclear waste storage, final repository for high level radioactive waste",RoW,unit
20022,"sheet rolling, copper","sheet rolling, copper",RoW,kilogram
20023,market for decommissioned tram track,decommissioned tram track,CH,meter-year
20024,"market for electricity, high voltage, aluminium industry","electricity, high voltage, aluminium industry","IAI Area, Asia, without China and GCC",kilowatt hour
20025,"market for 1,1-dimethylcyclopentane","1,1-dimethylcyclopentane",GLO,kilogram
20026,"market for wind turbine network connection, 2MW, onshore","wind turbine network connection, 2MW, onshore",GLO,unit
20027,ceramic tile production,ceramic tile,RoW,kilogram
20028,combine harvesting,combine harvesting,RoW,hectare
20029,market for manganese dioxide,manganese dioxide,GLO,kilogram
20030,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",DK,kilowatt hour
20031,"market for sawnwood, azobe, dried (u=15%), planed","sawnwood, azobe, dried (u=15%), planed",RoW,cubic meter
20032,"electricity production, coal, aluminium industry","electricity, high voltage, aluminium industry","IAI Area, Asia, without China and GCC",kilowatt hour
20033,"photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof","photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof",CH,unit
20034,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage",CN-TJ,kilowatt hour
20035,market for compost,compost,GLO,kilogram
20036,"treatment of waste glass, open dump, hyperarid infiltration class (-250mm)",waste glass,GLO,kilogram
20037,market for chlorosulfonic acid,chlorosulfonic acid,RoW,kilogram
20038,"aubergine production, open field",aubergine,IN,kilogram
20039,"impact extrusion of aluminium, cold, tempering","impact extrusion of aluminium, cold, tempering",RoW,kilogram
20040,"heat and power co-generation unit construction, 160kW electrical, components for electricity only","heat and power co-generation unit, 160kW electrical, components for electricity only",RER,unit
20041,"2,4-dichlorophenol production","2,4-dichlorophenol",RoW,kilogram
20042,"treatment of residues, MSWI-WWT, WW from grass refinery, residual material landfill","residues, MSWI-WWT, WW from grass refinery",GLO,kilogram
20043,"treatment of pollutant from rail ballast, residual material landfill",pollutant from rail ballast,CH,kilogram
20044,electricity voltage transformation from medium to low voltage,"electricity, low voltage",IL,kilowatt hour
20045,"market for furnace, logs, hardwood storage area, 30kW","furnace, logs, hardwood storage area, 30kW",GLO,unit
20046,"maintenance, tanker, for liquid goods other than petroleum and liquefied natural gas","maintenance, tanker for liquid goods other than petroleum and liquefied natural gas",GLO,unit
20047,"market for fibre-reinforced concrete, steel","fibre-reinforced concrete, steel",BR,cubic meter
20048,"market for cement, CEM III/C","cement, CEM III/C",Europe without Switzerland,kilogram
20049,amination of chlorosilane,hexamethyldisilazane,GLO,kilogram
20050,"peanut production, reduced tillage",peanut,BR-SP,kilogram
20051,"market for storage, 10'000 l","storage, 10'000 l",GLO,unit
20052,"planing, beam, softwood, u=10%","sawnwood, beam, softwood, dried (u=10%), planed",Europe without Switzerland,cubic meter
20053,titanium tetrachloride production,"hydrochloric acid, without water, in 30% solution state",CN,kilogram
20054,"gas motor production, 206kW","gas motor, 206kW",RER,unit
20055,"sanforizing, textile","sanforizing, textile",GLO,kilogram
20056,flattened bamboo production,flattened bamboo,RoW,kilogram
20057,"liquid crystal display production, unmounted","liquid crystal display, unmounted",GLO,kilogram
20058,market for waste bitumen sheet,waste bitumen sheet,CH,kilogram
20059,"tap water production, seawater reverse osmosis, ultrafiltration pretreatment, enhance module, two stages",tap water,GLO,kilogram
20060,2-nitroaniline production,2-nitroaniline,RoW,kilogram
20061,"hay production, Swiss integrated production, extensive","hay, Swiss integrated production, extensive",CH,kilogram
20062,market for dimethylamine,dimethylamine,RoW,kilogram
20063,market for waste graphical paper,waste graphical paper,CY,kilogram
20064,"disk drive production, CD/DVD, ROM, for desktop computer","disk drive, CD/DVD, ROM, for desktop computer",GLO,unit
20065,"potato seed production, organic, at farm","potato seed, organic, at farm",RoW,kilogram
20066,market for waste polyethylene terephthalate,waste polyethylene terephthalate,BE,kilogram
20067,"market for transport, freight, lorry with reefer, freezing","transport, freight, lorry with reefer, freezing",GLO,ton kilometer
20068,"uranium production, in yellowcake","uranium, in yellowcake",RNA,kilogram
20069,"soybean production, Swiss integrated production, intensive","soybean, Swiss integrated production",CH,kilogram
20070,"treatment of sewage sludge, 75% water, WWT, WW from ceramic production, sanitary landfill","sewage sludge, 75% water, WWT, WW from ceramic production",GLO,kilogram
20071,market for magnesium sulfate,magnesium sulfate,GLO,kilogram
20072,market for butyrolactone,butyrolactone,RER,kilogram
20073,market for dairy,dairy,GLO,cubic meter
20074,molecular sieve separation of naphtha,methylcyclohexane,RoW,kilogram
20075,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",IE,kilogram
20076,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",FI,kilowatt hour
20077,"ammonia production, partial oxidation, liquid","ammonia, anhydrous, liquid",RoW,kilogram
20078,desulfurisation of lignite flue gas,"SOx retained, in lignite flue gas desulfurisation",GLO,kilogram
20079,"treatment of used exhaust air roof hood, steel, DN 400","used exhaust air roof hood steel, DN 400",CH,unit
20080,market for stone wool,stone wool,GLO,kilogram
20081,"transport, freight train, steam","transport, freight train",CN,ton kilometer
20082,"land already in use, annual cropland to pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-CE,kilogram
20083,triple superphosphate production,triple superphosphate,RoW,kilogram
20084,"treatment of waste bitumen sheet, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
20085,sodium hydroxide to generic market for neutralising agent,"neutralising agent, sodium hydroxide-equivalent",GLO,kilogram
20086,"anaerobic digestion plant construction, for sewage sludge","anaerobic digestion plant, for sewage sludge",CH,unit
20087,lettuce361 production,lettuce,GLO,kilogram
20088,"packaging glass production, white, without cullet","packaging glass, white",GLO,kilogram
20089,"market for pump, 40W","pump, 40W",GLO,unit
20090,"weaned calves production on native pasture, Pantanal","weaned heifers, live weight",BR,kilogram
20091,"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark",RoW,cubic meter
20092,"treatment of wastewater from potato starch production, wastewater treatment",wastewater from potato starch production,RoW,cubic meter
20093,"market for waste wood, untreated","waste wood, untreated",IS,kilogram
20094,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",US-ASCC,kilowatt hour
20095,"market for sawnwood, board, hardwood, raw, dried (u=10%)","sawnwood, board, hardwood, raw, dried (u=10%)",CH,cubic meter
20096,"market for electricity, low voltage","electricity, low voltage",IN-Southern grid,kilowatt hour
20097,"anodising, aluminium sheet","anodising, aluminium sheet",CA-QC,square meter
20098,hard coal mine operation and hard coal preparation,hard coal,RNA,kilogram
20099,"transport, passenger aircraft, medium haul","transport, passenger aircraft, medium haul",GLO,person kilometer
20100,"treatment, sludge from pulp and paper production, landfarming","organo-mineral potassium fertiliser, as K2O",CA-QC,kilogram
20101,"rare earth oxides production, from rare earth carbonate concentrate",ytterbium oxide,CN-FJ,kilogram
20102,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage",MX,kilowatt hour
20103,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",PE,megajoule
20104,"water pump operation, electric","water pump operation, electric",BR,megajoule
20105,"treatment of waste gypsum, sanitary landfill",waste gypsum,CH,kilogram
20106,"heat production, lignite briquette, at stove 5-15kW","heat, central or small-scale, other than natural gas",Europe without Switzerland,megajoule
20107,"market for oxygen, liquid","oxygen, liquid",RER,kilogram
20108,"tillage, rolling","tillage, rolling",Canada without Quebec,hectare
20109,market for palm kernel meal,palm kernel meal,GLO,kilogram
20110,market for wastewater from particle board production,wastewater from particle board production,RER,cubic meter
20111,"dewatering of ethanol from biomass, from 95% to 99.7% solution state","ethanol, without water, in 99.7% solution state, from fermentation",RoW,kilogram
20112,water storage construction,water storage,RoW,unit
20113,roof tile production,roof tile,RoW,kilogram
20114,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-JX,kilowatt hour
20115,folding boxboard carton production,folding boxboard carton,RoW,kilogram
20116,"sugarcane processing, modern annexed plant","sugar, from sugarcane",BR,kilogram
20117,"electricity voltage transformation, residual mix, from high to medium voltage","electricity, medium voltage",LV,kilowatt hour
20118,"market for transport, freight, lorry 7.5-16 metric ton, EURO6","transport, freight, lorry 7.5-16 metric ton, EURO6",RoW,ton kilometer
20119,"market for electricity, medium voltage","electricity, medium voltage",GI,kilowatt hour
20120,"cast iron milling, large parts","cast iron removed by milling, large parts",RoW,kilogram
20121,"treatment of waste bitumen sheet, municipal incineration","heat, for reuse in municipal waste incineration only",RoW,megajoule
20122,"nutrient supply from phosphate rock, beneficiated","inorganic phosphorus fertiliser, as P2O5",RoW,kilogram
20123,"treatment, sludge from pulp and paper production, landfarming","organo-mineral nitrogen fertiliser, as N",RoW,kilogram
20124,treatment of copper scrap by electrolytic refining,"copper, cathode",RER,kilogram
20125,market for waste polyethylene terephthalate,waste polyethylene terephthalate,SE,kilogram
20126,"market for plasticiser, for concrete, based on sulfonated melamine formaldehyde","plasticiser, for concrete, based on sulfonated melamine formaldehyde",GLO,kilogram
20127,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",SI,megajoule
20128,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",IE,megajoule
20129,market for calcareous marl,calcareous marl,RER,kilogram
20130,"market for orange, processing grade","orange, processing grade",GLO,kilogram
20131,market group for municipal solid waste,municipal solid waste,RER,kilogram
20132,titanium tetrachloride production,titanium tetrachloride,CN,kilogram
20133,lanthanum oxide to generic market for mischmetal,mischmetal,GLO,kilogram
20134,soybean production,soybean,US,kilogram
20135,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",CA-NT,kilowatt hour
20136,"market for paper, melamine impregnated","paper, melamine impregnated",RER,kilogram
20137,"electricity production, hard coal","electricity, high voltage",KR,kilowatt hour
20138,"wheat grain, feed production, Swiss integrated production","wheat grain, feed, Swiss integrated production",CH,kilogram
20139,"NMC811 hydroxide production, for Li-ion battery","sodium sulfate, anhydrite",CN,kilogram
20140,market for silicone product,silicone product,RER,kilogram
20141,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",HN,kilowatt hour
20142,"heat and power co-generation unit construction, 1MWel, 6.4 MWth","heat and power co-generation unit, 1MWel, 6.4MWth",CH,unit
20143,sodium chloride electrolysis,sodium,RER,kilogram
20144,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",BE,kilowatt hour
20145,"electricity production, hydro, reservoir, alpine region","electricity, high voltage",IN-KL,kilowatt hour
20146,"planing, lath, hardwood, u=10%","sawnwood, lath, hardwood, dried (u=10%), planed",CH,cubic meter
20147,"market group for electricity, high voltage","electricity, high voltage",RAF,kilowatt hour
20148,millet production,millet,IN,kilogram
20149,"cable production, connector for computer, without plugs","cable, connector for computer, without plugs",GLO,meter
20150,"market for electricity, low voltage","electricity, low voltage",CA-NS,kilowatt hour
20151,"petroleum and gas production, offshore",petroleum,BR,kilogram
20152,"treatment of waste sealing sheet, polyethylene, municipal incineration","waste sealing sheet, polyethylene",RoW,kilogram
20153,"refinery gas production, petroleum refinery operation",refinery gas,RoW,kilogram
20154,"maize silage production, organic","maize silage, organic",CH,kilogram
20155,market for waste packaging paper,waste packaging paper,AL,kilogram
20156,"printing ink production, rotogravure, product in 55% toluene solution state","printing ink, rotogravure, without solvent, in 55% toluene solution state",RoW,kilogram
20157,"aluminium drilling, computer numerical controlled","aluminium removed by drilling, computer numerical controlled",RER,kilogram
20158,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",CN-GS,kilowatt hour
20159,market for pentane,pentane,GLO,kilogram
20160,"photovoltaic panel production, ribbon-Si","photovoltaic panel, ribbon-Si",RoW,square meter
20161,"electricity production, hydro, reservoir, tropical region","electricity, high voltage",AR,kilowatt hour
20162,"electricity, high voltage, production mix","electricity, high voltage",SS,kilowatt hour
20163,clinker production,inert waste,RoW,kilogram
20164,"natural gas, liquefied, import from RU","natural gas, liquefied",RoW,cubic meter
20165,"treatment of waste paperboard, unsorted, sorting","waste paperboard, sorted",CH,kilogram
20166,"market for used double glazing, U<1.1W/m2K, laminated safety glass","used double glazing, U<1.1W/m2K, laminated safety glass",GLO,square meter
20167,"market for impact extrusion of steel, cold, deformation stroke","impact extrusion of steel, cold, deformation stroke",GLO,kilogram
20168,sugar beet production,sugar beet,RoW,kilogram
20169,palm oil refinery operation,soap,GLO,kilogram
20170,"electricity, high voltage, production mix","electricity, high voltage",BJ,kilowatt hour
20171,"hard coal power plant construction, 100MW",hard coal power plant,GLO,unit
20172,"market for waste paperboard, sorted","waste paperboard, sorted",GLO,kilogram
20173,"market for ferrous metal, in mixed metal scrap","ferrous metal, in mixed metal scrap",Europe without Switzerland,kilogram
20174,"market for land tenure, arable land, measured as carbon net primary productivity, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-PR,kilogram
20175,"treatment of scrap copper, municipal incineration",scrap copper,RoW,kilogram
20176,"market for electricity, medium voltage","electricity, medium voltage",JO,kilowatt hour
20177,"steel milling, average","steel removed by milling, average",RoW,kilogram
20178,market for base plaster,base plaster,GLO,kilogram
20179,"aircraft production, passenger aircraft, short haul","aircraft, passenger, short haul",GLO,unit
20180,"fattening of heifers for beef production, feedlot","cattle for slaughtering, live weight",ZA,kilogram
20181,market for waste polyurethane,waste polyurethane,HU,kilogram
20182,"soybean production, organic","soybean, organic",RoW,kilogram
