,name,reference product,location,unit
248,"lorry production, 28 metric ton","lorry, 28 metric ton",RoW,unit
249,molecular sieve separation of naphtha,hexane,RoW,kilogram
250,pineapple production,pineapple,GLO,kilogram
251,market for wastewater from PV cell production,wastewater from PV cell production,RoW,cubic meter
252,"gravel production, crushed","gravel, crushed",CH,kilogram
253,"market for land tenure, arable land, measured as carbon net primary productivity, forest, intensive","land tenure, arable land, measured as carbon net primary productivity, forest, intensive",BR-SC,kilogram
254,market for straw,straw,RER,kilogram
255,market for waste polyvinylchloride,waste polyvinylchloride,FR,kilogram
256,"market for petrol, 5% ethanol by volume from biomass","petrol, 5% ethanol by volume from biomass",GLO,kilogram
257,"market for waste polystyrene isolation, flame-retardant","waste polystyrene isolation, flame-retardant",Europe without Switzerland,kilogram
258,market for deep well closure,deep well closure,GLO,meter
259,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-JL,kilowatt hour
260,metal working factory construction,metal working factory,RoW,unit
261,thermoforming of plastic sheets,thermoforming of plastic sheets,FR,kilogram
262,"treatment of sewage sludge, 97% water, WWT, heat carrier liquid, 40% C3H8O2, landfarming","sewage sludge, 97% water, WWT, heat carrier liquid, 40% C3H8O2",CH,kilogram
263,"electrolysis of magnesium chloride, from hafnium sponge production","magnesium, for reuse in hafnium sponge production",FR,kilogram
264,"treatment of waste plastic, mixture, open dump, very wet infiltration class (1000mm)","waste plastic, mixture",GLO,kilogram
265,"market for used train, passenger, high-speed","used train, passenger, high-speed",GLO,unit
266,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",US-RFC,kilowatt hour
267,"treatment of municipal solid waste, incineration","heat, for reuse in municipal waste incineration only",SK,megajoule
268,"smelting of copper concentrate, sulfide ore",sulfuric acid,CN,kilogram
269,"window frame production, wood-metal, U=1.6 W/m2K","window frame, wood-metal, U=1.6 W/m2K",RER,square meter
270,"aluminium, ingot, primary, import from unspecified","aluminium, primary, ingot","IAI Area, North America",kilogram
271,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",TZ,kilowatt hour
272,market for trichloropropane,trichloropropane,RER,kilogram
273,"market for transport, freight, lorry >32 metric ton, EURO6","transport, freight, lorry >32 metric ton, EURO6",RER,ton kilometer
274,"electricity production, hydro, run-of-river","electricity, high voltage",CL,kilowatt hour
275,"treatment of waste refinery gas, burned in flare",waste refinery gas,GLO,megajoule
276,corrugated board box production,corrugated board box,US,kilogram
277,"operation, printer, laser, colour, per kg printed paper",printed paper,Europe without Switzerland,kilogram
278,"uranium fuel element production, enriched 3.8%, for light water reactor","uranium, enriched 3.8%, in fuel element for light water reactor",CH,kilogram
279,sodium sulfite production,sodium sulfite,RoW,kilogram
280,Sohio process,acrylonitrile,RoW,kilogram
281,"heat and power co-generation, hard coal","electricity, high voltage",TR,kilowatt hour
282,clinker production,"waste rubber, unspecified",BR,kilogram
283,"diesel, low-sulfur, import from RoW","diesel, low-sulfur",CO,kilogram
284,"treatment of sewage sludge, 75% water, WWT, WW from particle board production, sanitary landfill","electricity, medium voltage",RoW,kilowatt hour
285,"electricity production, hydro, reservoir, alpine region","electricity, high voltage",IT,kilowatt hour
286,"electricity production, hard coal","electricity, high voltage",CN-HB,kilowatt hour
287,"treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE","sewage sludge, 70% water, WWT, WW from glass production",CH,kilogram
288,"market for bagasse, from sugarcane","bagasse, from sugarcane",CO,kilogram
289,sanitary landfill facility construction,sanitary landfill facility,CH,unit
290,"electricity production, hydro, pumped storage","electricity, high voltage",IN-TN,kilowatt hour
291,market for cable yarding,cable yarding,GLO,hour
292,"market for sewage sludge, 97% water, WWT, WW from glass production","sewage sludge, 97% water, WWT, WW from glass production",RoW,kilogram
293,market for hexamethyldisilazane,hexamethyldisilazane,GLO,kilogram
294,"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",RS,megajoule
295,"blower and heat exchange unit production, GE 250 RH","blower and heat exchange unit, GE 250 RH",CH,unit
296,"land use change, perennial crop","land use change, perennial crop",PE,hectare
297,"electricity voltage transformation, residual mix, from high to medium voltage","electricity, medium voltage",DE,kilowatt hour
298,"petroleum and gas production, offshore",petroleum,AE,kilogram
299,"treatment of sludge, NaCl electrolysis Hg, residual material landfill","sludge, NaCl electrolysis Hg",RoW,kilogram
300,"steel turning, primarily roughing, computer numerical controlled","steel removed by turning, primarily roughing, computer numerical controlled",RoW,kilogram
301,"hardwood forestry, mixed species, sustainable forest management","wood chips, wet, measured as dry mass",CH,kilogram
302,"treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery",fly ash and scrubber sludge,Europe without Switzerland,kilogram
303,"greenhouse construction, glass walls and roof, plastic tubes","greenhouse, glass walls and roof",FR,square meter-year
304,"transport, passenger, electric bicycle, electricity from renewable energy products","transport, passenger, electric bicycle, electricity from renewable energy products",RoW,person kilometer
305,"market for used air filter central unit, 600 m3/h","used air filter central unit, 600 m3/h",RoW,unit
306,"market for welding, arc, aluminium","welding, arc, aluminium",GLO,meter
307,"ultrafiltration module production, hollow fiber",ultrafiltration module,GLO,unit
308,"market for electricity, medium voltage","electricity, medium voltage",BR-Southern grid,kilowatt hour
309,market for kraft paper,kraft paper,RER,kilogram
310,"treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration","sewage sludge, 70% water, WWT, rainwater mineral oil storage",RoW,kilogram
311,ioxynil production,ioxynil,GLO,kilogram
312,"treatment of coal gas, in power plant","heat, district or industrial, other than natural gas",MX,megajoule
313,"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",NL,megajoule
314,"market for used silencer steel, DN 315","used silencer steel, DN 315",CH,unit
315,"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",IN-TN,megajoule
316,market for maleic hydrazide,maleic hydrazide,GLO,kilogram
317,"heat and power co-generation, oil","electricity, high voltage",HR,kilowatt hour
318,"treatment of scrap copper, municipal incineration",scrap copper,CH,kilogram
319,"market for sodium silicate, without water, in 48% solution state","sodium silicate, without water, in 48% solution state",RoW,kilogram
320,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining","nickel, class 1",RoW,kilogram
321,"market for lightweight concrete block, expanded perlite","lightweight concrete block, expanded perlite",RoW,kilogram
322,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO5","transport, freight, lorry 3.5-7.5 metric ton, EURO5",BR,ton kilometer
323,"market for wastewater, average","wastewater, average",RoW,cubic meter
324,market for waste glass,waste glass,IN,kilogram
